Name,Location,Open Year-Round,Handicap Accessible,Borough
Clement Clark Moore Park,Broadway & 83 Street,Yes,No,Queens
Clintonville Playground (JHS 194),"Clintonville Street, 17 Road & 17 Avenue",Yes,No,Queens
Col. Charles Young Playground,West 144 Street & Lenox Avenue,Yes,No,Manhattan
Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",Yes,No,Brooklyn
Coleman Square Playground,Between Cherry & Monroe streets,Yes,No,Manhattan
College Point Park,130th Street & 23rd Avenue,Yes,No,Queens
Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,No,Bronx
Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Yes,Yes,Manhattan
Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",Yes,No,Brooklyn
Com. John Barry Park & Playground,South of Flushing Avenue,Yes,No,Brooklyn
Com. John Barry Park & Playground,South of Flushing Avenue,No,No,Brooklyn
Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,No,No,Brooklyn
Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",Yes,No,Brooklyn
Coney Island,Brighton 2nd,No,Yes,Brooklyn
Coney Island,W 27 ST.,No,Yes,Brooklyn
Coney Island,W 33 St.,No,Yes,Brooklyn
Coney Island Beach,Stillwell Avenue,Yes,Yes,Brooklyn
Coney Island Beach,West 16th Street,No,Yes,Brooklyn
Coney Island Beach,W 22 ST.,No,Yes,Brooklyn
Coney Island Beach,Corbin Place to Coney Island Avenue,Yes,No,Brooklyn
Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",No,Yes,Staten Island
Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",Yes,No,Brooklyn
Corona Golf Playground,109 Street between 46-47 avenues,Yes,No,Queens
Corporal John A. Seravalli Playground,Hudson & Horatio streets,Yes,No,Manhattan
Corporal Thompson Park,"Broadway, Henderson Avenue",No,No,Staten Island
Corporal Thompson Park/West Brighton Pool,"Broadway, Henderson Avenue",No,Yes,Staten Island
Crocheron Park Field House,"34th Avenue, 214th Place, 34th Road, 214th Lane, 35th Avenue, & 216th Street",Yes,No,Queens
Crotona Park (Martin Van Buren Playground),Crotona East & Claremont Parkway,Yes,No,Bronx
Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,Yes,No,Bronx
Crotona Park (Pool House),173rd Street and Fulton Avenue,Yes,Yes,Bronx
Crotona Park Environmental Center,"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",Yes,No,Bronx
Crowley Playground,57 Avenue & 83 Street,Yes,No,Queens
Cunningham Park,"Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard",Yes,No,Queens
Cunningham Park (210th Street Playground),210 Street & 73 Avenue,Yes,No,Queens
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",Yes,Yes,Queens
Cypress Hills Park,Blake & Euclid avenues,Yes,No,Brooklyn
Daniel M. O'Connell Playground,113 Avenue & 196 Street,Yes,No,Queens
De Witt Clinton Park,"West 52 to West 54 streets, 11 to 12 avenues",Yes,Yes,Manhattan
Dematti Playground,"Tompkins Avenue, Chestnut Avenue",Yes,No,Staten Island
Detective Keith L. Williams Park,"106 Avenue, 173 Street, Liberty Avenue, 172 Street",Yes,No,Queens
Devoe Park,"West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place",Yes,No,Bronx
Digilio Playground,McDonald Avenue & Avenue F,Yes,No,Brooklyn
Dimattina Playground,Hicks & Rapelye streets,Yes,No,Brooklyn
